image,H,W,masks_total,candidates_kept,blocks_drawn,rows,median_cols_per_row,wwr,shading_idx
cmp_b0068.jpg,1024,399,151,112,90,16,4,0.3446823814214133,0.0249684734706608
cmp_b0069.jpg,1024,840,179,116,97,23,2,0.2620724390974759,0.0941108596620882
cmp_b0070.jpg,1024,449,188,77,61,15,5,0.2498629399147822,0.0179888830299306
cmp_b0071.jpg,1024,835,141,67,57,17,3,0.2410854918788228,0.0072458429517089
cmp_b0072.jpg,1024,586,219,122,107,19,5,0.5602952080765596,0.0
cmp_b0073.jpg,917,1024,135,63,56,11,4,0.2504969452402336,0.0369325047279725
cmp_b0074.jpg,839,1024,167,95,84,13,5,0.345046592312096,0.0532999690662424
cmp_b0075.jpg,1024,445,153,71,55,17,2,0.1434993942053596,0.0
cmp_b0076.jpg,1024,666,150,81,68,19,2,0.2489643830661796,0.0092517166234163
cmp_b0077.jpg,1024,786,204,129,106,13,6,1.0,1.0
cmp_b0078.jpg,1024,805,248,98,84,14,5,0.2282687413655202,0.0759711426088956
cmp_b0079.jpg,1024,601,210,108,92,17,4,0.3340036824166534,0.0
cmp_b0080.jpg,1024,503,145,56,51,16,2,0.1159057705980825,0.0
cmp_b0081.jpg,514,1024,279,166,136,11,12,0.3245629138036282,0.0221506778761512
cmp_b0082.jpg,758,1024,273,166,136,14,7,0.3034431912932812,0.1069558529240419
cmp_b0083.jpg,827,1024,277,117,102,13,8,0.1534386226216338,0.0652087168067551
cmp_b0084.jpg,995,1024,138,86,72,17,4,0.2608884281617152,0.0620063155599433
cmp_b0085.jpg,828,1024,158,115,91,16,5,0.306794790089497,0.0173129876240316
cmp_b0086.jpg,703,1024,120,85,64,12,5,0.3417355527220473,0.0925445329471397
cmp_b0087.jpg,530,1024,172,122,82,10,7,0.6916497156378429,0.0272734076479466
cmp_b0088.jpg,441,1024,143,85,73,11,6,0.3725443040559396,0.0222572591106638
cmp_b0089.jpg,365,1024,166,100,87,7,11,0.2240894677950136,0.1129196032132278
cmp_b0090.jpg,1024,813,110,47,44,15,2,0.1801400443839811,0.0447115204196369
cmp_b0091.jpg,1024,929,143,78,66,17,3,0.2381616975669144,0.1044994103359132
cmp_b0092.jpg,1024,844,110,35,34,13,2,0.0829947390832543,0.0760378862861541
cmp_b0093.jpg,723,1024,121,42,36,12,2,0.1645676871495663,0.0372634053803471
cmp_b0094.jpg,1024,721,122,58,50,14,2,0.2737730313035373,0.1195271676547456
cmp_b0095.jpg,1024,781,139,75,67,17,4,0.5474186703869773,0.136802403165372
cmp_b0096.jpg,627,1024,182,88,78,12,5,0.354062899818501,0.0733559661521128
cmp_b0097.jpg,883,1024,242,150,121,18,7,0.4053360861427936,0.0975828005802084
cmp_b0098.jpg,1024,802,130,64,55,16,3,0.3164989200801483,0.0990133540174927
cmp_b0099.jpg,737,1024,153,96,76,16,4,0.4051284108344448,0.2732106938818116
cmp_b0100.jpg,1024,726,190,118,105,20,4,0.7164044312815541,0.120000075990296
cmp_b0101.jpg,1024,845,131,73,62,18,3,0.4034462798877955,0.1604257663809709
cmp_b0102.jpg,768,1024,140,60,55,10,5,0.1636951360314648,0.0290349279353225
cmp_b0103.jpg,1024,807,80,35,34,17,2,0.3363227396279634,0.0843680775725213
cmp_b0104.jpg,666,1024,178,113,86,12,6,0.275004310994017,0.0633800509050391
cmp_b0105.jpg,507,1024,154,107,89,12,7,0.2448596008402733,0.0792305574508325
cmp_b0106.jpg,574,1024,220,129,107,14,6,0.5311917031454905,0.3167956219898869
cmp_b0107.jpg,751,1024,205,119,105,15,7,0.3007595167756197,0.136589913839198
cmp_b0108.jpg,766,1024,202,157,117,14,7,0.8145903378833399,0.0326316731908459
cmp_b0109.jpg,825,1024,196,91,84,13,6,0.3038979318085986,0.1307308222743031
cmp_b0110.jpg,812,1024,157,93,86,13,6,0.4467813506777703,0.2120301209317246
cmp_b0111.jpg,1024,689,116,57,46,14,2,0.2199503365238033,0.0749181299757213
cmp_b0112.jpg,1024,754,191,97,85,19,5,0.2635888991107934,0.0345813255479671
cmp_b0113.jpg,1024,951,203,121,102,18,3,0.2877200963874696,0.1934298121927692
cmp_b0114.jpg,1024,987,172,81,71,19,3,0.329152928541676,0.0173375716853977
cmp_b0115.jpg,1024,687,120,83,76,17,4,0.1962524825743212,0.0499990450576524
cmp_b0116.jpg,1024,804,125,59,53,16,2,0.4141151557089443,0.0923899654672154
cmp_b0117.jpg,643,1024,124,70,68,15,5,0.2641159303281136,0.0082753645591796
cmp_b0118.jpg,704,1024,188,96,82,13,6,0.3616512043981564,0.2589533750264454
cmp_b0119.jpg,846,1024,218,113,96,17,7,0.2658628985801904,0.0425205070842654
cmp_b0120.jpg,767,1024,107,52,45,12,3,0.3379864902851009,0.3561322804798857
cmp_b0121.jpg,758,1024,225,129,102,15,6,0.4169278996865204,0.425690076280459
cmp_b0122.jpg,717,1024,135,77,66,14,5,0.4023225786735325,0.0534888378898635
cmp_b0123.jpg,780,1024,161,93,75,12,5,0.3290468562876296,0.0124233279758585
cmp_b0124.jpg,805,1024,183,76,67,14,3,0.1625832039089207,0.2893968755736218
cmp_b0125.jpg,722,1024,219,138,109,15,6,0.2703874690550977,0.0160812258428755
cmp_b0126.jpg,752,1024,124,67,66,11,4,0.1087860445043228,0.1539216748799877
cmp_b0127.jpg,795,1024,99,32,27,9,2,0.1242453322049522,0.2458224039791668
cmp_b0128.jpg,771,1024,77,52,46,12,3,0.354938172914849,0.0687526571388081
cmp_b0129.jpg,765,1024,131,81,73,13,6,0.2692134664434256,0.2363458452385612
cmp_b0130.jpg,761,1024,117,48,43,10,4,0.2528746832976028,0.3871031149919776
cmp_b0131.jpg,1024,851,152,91,74,15,4,0.291965782883079,0.0382492614134699
cmp_b0132.jpg,1024,876,186,111,95,19,4,0.2773819825420696,0.0170147237682085
cmp_b0133.jpg,1024,890,109,56,49,13,4,0.2065572809190189,0.1031442565082277
cmp_b0134.jpg,568,1024,132,64,57,12,3,0.3249507300842522,0.2713302599051246
cmp_b0135.jpg,718,1024,205,123,96,16,5,0.3522619736413735,0.0260445604832649
cmp_b0136.jpg,731,1024,167,105,89,15,4,0.4711527405748159,0.1972788680773082
cmp_b0137.jpg,737,1024,144,58,50,13,3,0.2567677450595232,0.1101983799466383
cmp_b0138.jpg,776,1024,130,52,48,14,2,0.2798854077776423,0.4009155832265152
cmp_b0139.jpg,732,1024,139,69,60,15,3,0.3630551387523499,0.2488263316405784
cmp_b0140.jpg,624,1024,125,75,63,15,3,0.5853131404783454,0.1098854689108703
cmp_b0141.jpg,589,1024,171,83,75,11,4,0.2505498037623494,0.076970700545111
cmp_b0142.jpg,800,1024,100,44,34,9,3,0.4507212948121506,0.1152948949401458
cmp_b0143.jpg,977,1024,110,51,47,15,3,0.2136961525096721,0.0943720232459909
cmp_b0144.jpg,677,1024,135,78,67,14,4,0.3425778816199377,0.1901125276643496
cmp_b0145.jpg,764,1024,166,95,91,14,5,0.4265684936711788,0.2089827347929299
cmp_b0146.jpg,1024,989,120,39,35,19,2,0.3049456928946059,0.0679211760854086
cmp_b0147.jpg,669,1024,88,47,40,10,4,0.2693734666333963,0.020694895149873
cmp_b0148.jpg,1024,768,125,65,54,17,3,0.3145379495585882,0.0022232171466445
cmp_b0149.jpg,1024,768,123,51,43,17,2,0.1800490672185815,0.0276244306645448
cmp_b0150.jpg,1024,768,111,71,61,18,2,0.2897995587880459,0.0055185258637786
cmp_b0151.jpg,1024,768,138,80,68,17,3,0.2591671266482674,0.0093028735815572
cmp_b0152.jpg,1024,768,103,51,41,11,3,0.1510482022453111,0.0293129336377286
cmp_b0153.jpg,1024,768,184,91,75,17,4,0.2415801964501449,0.0404839827046654
cmp_b0154.jpg,1024,768,153,87,64,15,4,0.2472909472295756,0.0173826567555429
cmp_b0155.jpg,1024,768,149,102,81,18,4,0.533451919782855,0.115535335889526
cmp_b0156.jpg,1024,768,147,97,80,21,3,0.3007378923705669,0.0971260468815795
cmp_b0157.jpg,1024,768,184,107,94,19,5,0.2951610207930483,0.1444222611922027
cmp_b0158.jpg,1024,768,188,113,91,19,5,0.4202044468144174,0.0406102129744579
cmp_b0159.jpg,1024,768,155,72,66,17,3,0.1505784497317417,0.359035645682605
cmp_b0160.jpg,1024,768,115,71,55,13,3,0.2287467590391136,0.0
cmp_b0161.jpg,1024,768,135,72,57,13,4,0.2194623778537666,0.0343221762387819
cmp_b0162.jpg,870,1024,234,111,106,19,5,0.3427619546125456,0.0716914054233803
cmp_b0163.jpg,1024,749,170,109,93,18,5,0.5934453347118118,0.0877939390716267
cmp_b0164.jpg,853,1024,129,49,46,11,4,0.1370616833277415,0.0448840710785393
cmp_b0165.jpg,1001,1024,149,100,79,16,4,0.3473698306013413,0.0664923573488734
cmp_b0166.jpg,757,1024,114,66,64,13,5,0.1962972132149392,0.2566104530630554
cmp_b0167.jpg,1024,837,141,83,74,19,3,0.3840309389959174,0.0
cmp_b0168.jpg,974,1024,211,118,104,19,4,0.2270436415494348,0.0572466742948981
cmp_b0169.jpg,803,1024,173,96,88,15,4,0.2456429862366189,0.0
cmp_b0170.jpg,1024,858,139,87,73,15,4,0.3735853410390073,0.047228871570586
cmp_b0171.jpg,1024,933,174,80,75,18,3,0.2410253721826465,0.130233414813839
cmp_b0172.jpg,812,1024,176,92,76,15,4,0.2429333166049808,0.1039309626450305
cmp_b0173.jpg,1024,777,151,72,56,15,3,0.2160486014428553,0.0191675043997136
cmp_b0174.jpg,780,1024,150,78,72,16,3,0.256408315809011,0.1891971302905761
cmp_b0175.jpg,795,1024,123,76,65,15,3,0.3650786088613625,0.3170932469197844
cmp_b0176.jpg,836,1024,115,58,52,11,4,0.2079054372063237,0.0082408034332819
cmp_b0177.jpg,830,1024,112,55,53,10,5,0.1647657273654662,0.0120691720179471
cmp_b0178.jpg,780,1024,124,71,60,13,3,0.2077710292877734,0.3358790003941026
cmp_b0179.jpg,814,1024,126,65,52,13,3,0.2775349356107601,0.3079319186603101
cmp_b0180.jpg,800,1024,124,74,57,13,5,0.3923619334998107,0.2534856588170507
cmp_b0181.jpg,1024,804,125,66,52,15,2,0.189950725914598,0.1366741977810386
cmp_b0182.jpg,1024,671,184,108,101,17,5,0.3735789344551229,0.038951090434352
cmp_b0183.jpg,1024,720,137,63,53,17,3,0.2352954888488726,0.0187105970787307
cmp_b0184.jpg,1024,571,132,61,52,16,3,0.5747085758067753,0.0
cmp_b0185.jpg,1024,748,170,82,70,16,2,0.186333366565093,0.0184596304893948
cmp_b0186.jpg,1024,652,225,128,112,18,6,0.2773279318534743,0.0355840785598254
cmp_b0187.jpg,993,1024,139,86,69,15,4,0.2000330261749286,0.2303309162347208
cmp_b0188.jpg,1024,873,172,99,79,18,3,0.2747938299036493,0.0583765304795347
cmp_b0189.jpg,1024,561,119,61,51,14,3,0.3285681568001655,0.0491095470839818
cmp_b0190.jpg,588,1024,239,121,98,13,7,0.2260630519974264,0.2005300525759072
cmp_b0191.jpg,1024,824,127,70,63,17,4,0.4457020115248134,0.0354548575763618
cmp_b0192.jpg,1024,620,113,63,53,22,1,0.2397345520036312,0.0326125400750077
cmp_b0193.jpg,908,1024,168,75,62,15,5,0.2759545519945325,0.1054131086163377
cmp_b0194.jpg,847,1024,102,44,42,13,4,1.0,1.0
cmp_b0195.jpg,1024,654,115,64,55,21,2,0.258898785072323,0.0432737725924979
cmp_b0196.jpg,468,1024,153,125,84,9,9,0.6401530490782941,0.0895170760228171
cmp_b0197.jpg,589,1024,170,104,87,13,5,0.1617003866610578,0.0
cmp_b0198.jpg,679,1024,218,117,101,12,8,0.3498575683466998,0.1195202512546499
cmp_b0199.jpg,1024,688,103,57,55,18,2,0.2217022704987292,0.0563521489733144
cmp_b0200.jpg,562,1024,121,51,42,10,3,0.3414222138207441,0.2442562897707351
cmp_b0201.jpg,1024,957,154,85,74,20,3,0.6194906310036223,0.0768311448084026
cmp_b0202.jpg,698,1024,175,108,81,12,6,0.2358347890486671,0.0356751043264099
cmp_b0203.jpg,628,1024,152,83,70,11,6,0.4292184386974736,0.0764303562458035
cmp_b0204.jpg,1024,910,159,38,37,10,3,0.0821051657518417,0.009777455626045
cmp_b0205.jpg,686,1024,128,52,51,10,3,0.1291701325593331,0.0155765996990884
cmp_b0206.jpg,555,1024,124,58,53,9,4,0.1302257069926167,0.0
cmp_b0207.jpg,1024,649,114,36,34,12,1,0.2037854800451482,0.0199664001963134
cmp_b0208.jpg,770,1024,101,46,42,13,3,0.2562776062559156,0.0970424003985047
cmp_b0209.jpg,558,1024,166,92,87,11,7,0.2982198017905009,0.1046163692806144
cmp_b0210.jpg,594,1024,140,89,77,12,6,0.283835962015359,0.0015938483287753
cmp_b0211.jpg,1024,768,73,36,28,7,3,0.1240081153151154,0.1844696558086197
cmp_b0212.jpg,1024,768,95,57,44,11,3,0.2051953800957785,0.0236780525919392
cmp_b0213.jpg,1024,768,104,59,48,12,3,0.1628517356442053,0.0
cmp_b0214.jpg,1024,768,130,69,57,16,2,0.1646660915526708,0.1925890210560343
cmp_b0215.jpg,1024,768,171,78,64,13,3,0.2494935963235714,0.0209758049881548
cmp_b0216.jpg,1024,768,136,68,62,13,5,0.1504798943455569,0.029732017989675
cmp_b0217.jpg,1024,768,82,33,31,14,2,0.143100143442883,0.0
cmp_b0218.jpg,1024,768,156,79,62,16,3,0.2758135021574058,0.2145964108654263
cmp_b0219.jpg,1024,768,168,87,73,15,4,0.2386965715507615,0.0
cmp_b0220.jpg,1024,768,100,53,48,11,4,0.2001042914523289,0.0070606215264364
cmp_b0221.jpg,1024,768,165,90,76,21,3,0.2319549536659063,0.0290602178252849
cmp_b0222.jpg,1024,768,129,75,67,18,3,0.2470137577555975,0.0058544293550413
cmp_b0223.jpg,1024,768,186,89,71,18,3,0.2285066776155206,0.0273634013697876
cmp_b0224.jpg,1024,768,134,77,72,18,4,0.1761446522040459,0.0
cmp_b0225.jpg,1024,768,95,52,44,12,3,1.0,0.1778278793423625
cmp_b0226.jpg,1024,768,122,62,56,13,3,0.1861107561977551,0.0432603544908045
cmp_b0227.jpg,1024,768,91,32,31,13,2,0.1142914669340389,0.1772684181188638
cmp_b0228.jpg,1024,768,98,63,50,12,4,0.1939743010097436,0.0129216833909014
cmp_b0229.jpg,1024,768,125,67,57,16,2,0.2017552002750558,0.1073888982517446
cmp_b0230.jpg,1024,768,138,87,71,14,5,0.2885947785821656,0.0319893781555201
cmp_b0231.jpg,1024,768,110,57,42,11,3,0.1483667473211199,0.0067155876571533
cmp_b0232.jpg,1024,768,149,76,73,12,5,0.1770194347661641,0.0557942817626262
cmp_b0233.jpg,1024,768,94,45,40,11,3,0.1812999072484781,0.0385795434856203
cmp_b0234.jpg,1024,768,119,71,52,13,4,0.2547188713602961,0.0183743666679438
cmp_b0235.jpg,1024,768,121,88,76,13,5,0.2355484724560981,0.0057932775037283
cmp_b0236.jpg,593,1024,168,99,87,14,5,0.4111526079645793,0.3294429349548491
cmp_b0237.jpg,660,1024,142,72,61,8,5,0.2488768460828429,0.1619334170310403
cmp_b0238.jpg,627,1024,136,55,51,11,4,0.2371428159303013,0.2586464775962532
cmp_b0239.jpg,496,1024,146,76,63,13,3,0.2587453233040186,0.2272083136513935
cmp_b0240.jpg,595,1024,169,101,79,15,4,1.0,0.1559416416081969
cmp_b0241.jpg,614,1024,180,88,77,12,4,0.2704604485290062,0.1433844706424484
cmp_b0242.jpg,762,1024,206,122,103,15,6,0.5117425643830328,0.1461254066368278
cmp_b0243.jpg,637,1024,170,78,71,16,4,0.4342144671337642,0.0805088246471675
cmp_b0244.jpg,586,1024,182,93,81,11,5,0.4779342972806399,0.1636957167758503
cmp_b0245.jpg,608,1024,142,83,68,11,6,0.4259285401441359,0.3486079369506086
cmp_b0246.jpg,975,1024,191,113,103,18,5,0.2893188833832988,0.0264252306562929
cmp_b0247.jpg,676,1024,158,101,88,15,5,0.6185618904285302,0.2464731436992462
cmp_b0248.jpg,648,1024,143,100,76,15,6,0.8605329911588441,0.0868179017615226
cmp_b0249.jpg,1024,842,167,76,65,17,4,0.1881031706811624,0.0514889247469561
cmp_b0250.jpg,1024,882,141,75,72,16,3,0.3332895602565734,0.0677027451745402
cmp_b0251.jpg,1024,810,122,66,57,17,3,0.601650295513194,0.1042866682276625
cmp_b0252.jpg,1024,888,149,79,66,20,3,0.4867833898083718,0.1107304875144488
cmp_b0253.jpg,938,1024,157,87,70,17,2,0.3449149843341731,0.2191250354692794
cmp_b0254.jpg,992,1024,163,94,89,16,4,0.379682612091612,0.1611303989057917
cmp_b0255.jpg,1024,743,197,147,113,21,5,0.2621536252476385,0.0738936250494202
cmp_b0256.jpg,1024,902,178,99,91,18,3,0.2052824880831444,0.154373103190354
cmp_b0257.jpg,1024,834,206,107,98,18,4,0.2727751615588179,0.1109670079006084
cmp_b0258.jpg,1024,996,164,64,55,12,3,0.2351920309959093,0.0616484776239927
cmp_b0259.jpg,762,1024,153,89,81,12,5,0.2213051683331421,0.0403366990720743
cmp_b0260.jpg,1024,753,166,117,99,20,5,0.4138003203163383,0.0523629014134396
cmp_b0261.jpg,943,1024,227,130,113,20,5,0.2806687535470422,0.0942736690212363
cmp_b0262.jpg,1007,1024,203,80,75,15,3,0.1996640641579203,0.0322097513443285
cmp_b0263.jpg,1024,858,178,95,84,16,5,0.2437616166409617,0.1282650868311402
cmp_b0264.jpg,1024,948,165,92,78,19,4,0.2797090920535341,0.1653759857242202
cmp_b0265.jpg,1024,967,160,99,82,16,4,0.2600393311520436,0.0224096774467579
cmp_b0266.jpg,1024,653,187,82,78,19,3,0.1781139392766287,0.019126311475268
cmp_b0267.jpg,1024,878,305,121,107,20,4,0.2224168881590849,0.0865865210486724
cmp_b0268.jpg,925,1024,163,76,70,16,3,0.2784932685999876,0.0088332696632908
cmp_b0269.jpg,1024,774,150,88,74,18,4,0.2907982112424813,0.115302018515708
cmp_b0270.jpg,1024,827,109,40,35,11,2,0.1916267327288798,0.0457543604285653
cmp_b0271.jpg,735,1024,199,109,99,18,5,0.2540673415920044,0.1054231440961636
cmp_b0272.jpg,623,1024,165,88,78,13,4,0.2368516563283621,0.3076131729748266
cmp_b0273.jpg,1024,852,214,122,101,21,5,0.2476297327931491,0.0991716474499254
cmp_b0274.jpg,1024,680,211,119,102,20,5,0.4320166572753038,0.0662465329534519
cmp_b0275.jpg,1024,899,217,143,121,20,5,0.3171314355847333,0.1164096784636318
cmp_b0276.jpg,1024,963,189,111,95,19,4,0.2453222403490558,0.1399387728958121
cmp_b0277.jpg,1024,777,175,95,74,17,4,0.2639194044985928,0.1199030611044446
cmp_b0278.jpg,1024,829,211,88,74,16,3,0.1645927035424503,0.2595376848667604
cmp_b0279.jpg,717,1024,147,80,73,15,4,0.2745976720910661,0.2313825916402725
cmp_b0280.jpg,508,1024,186,73,71,11,8,0.3867795246291932,0.1157064336871432
cmp_b0281.jpg,445,606,104,73,53,9,5,1.0,0.3267525406175157
cmp_b0282.jpg,502,721,155,86,65,7,9,0.3387841446799549,0.0523626544147995
cmp_b0283.jpg,584,550,127,89,68,12,5,0.2746651904205784,0.1018300341115626
cmp_b0284.jpg,638,510,159,107,80,13,6,0.2830668513156238,0.1348592573237187
cmp_b0285.jpg,767,1024,161,124,109,15,7,0.420257192574781,0.2832422537389387
cmp_b0286.jpg,650,1024,179,128,110,13,9,0.5490661482184486,0.0506167917967798
cmp_b0287.jpg,474,507,141,76,49,9,5,0.3305364456992882,0.0501702468721755
cmp_b0288.jpg,490,740,125,63,40,9,4,0.3000666863106961,0.050292604741315
cmp_b0289.jpg,476,500,96,54,41,11,3,0.417621776504298,0.0213086592785071
cmp_b0290.jpg,241,338,98,43,30,6,3,0.3266473478644324,0.0146963639824861
cmp_b0291.jpg,385,625,139,85,55,8,7,0.3584043158866416,0.0751299495701561
cmp_b0292.jpg,539,547,89,52,36,12,2,0.4135434431634718,0.0015503734576064
cmp_b0293.jpg,556,584,76,35,31,9,3,0.1824735339171849,0.0362514764821149
cmp_b0294.jpg,321,487,107,62,46,6,6,0.465519271858544,0.089386467259362
cmp_b0295.jpg,453,612,161,93,67,11,6,1.0,1.0
cmp_b0296.jpg,421,590,134,57,45,7,6,0.2570805484510638,0.0994955685461059
cmp_b0297.jpg,494,576,119,62,43,9,4,0.2339159626042028,0.1044570270536522
cmp_b0298.jpg,462,566,137,47,32,7,5,0.2672922769489293,0.1379604559623216
cmp_b0299.jpg,391,585,135,50,41,7,4,0.2227705390339042,0.2151140931833299
cmp_b0300.jpg,441,595,96,36,32,10,2,0.1984229421318061,0.0427559446309874
cmp_b0301.jpg,329,647,148,90,60,7,10,0.6550104674950449,0.6706102762386894
cmp_b0302.jpg,359,659,126,61,43,8,4,0.2063592273396857,0.1203376040308588
cmp_b0303.jpg,371,800,143,85,60,9,7,0.3508115612161715,0.3719714657338364
cmp_b0304.jpg,332,530,94,56,39,8,5,0.258465923593976,0.2615766419205279
cmp_b0305.jpg,614,619,147,90,73,13,4,0.423286166050276,0.1483457558046007
cmp_b0306.jpg,594,581,81,50,38,13,3,0.3483408166128806,0.1498506413635565
cmp_b0307.jpg,416,445,104,52,38,9,4,0.4096778030343078,0.0466718230437168
cmp_b0308.jpg,356,587,129,66,46,7,5,0.2454666076957098,0.121651528424547
cmp_b0309.jpg,714,704,91,55,44,13,3,0.4432131747483989,0.0193119727877857
cmp_b0310.jpg,506,524,74,33,31,9,3,0.2305311660826124,0.0162785878940143
cmp_b0311.jpg,720,849,144,91,71,15,5,0.3709702632681433,0.2355386719597017
cmp_b0312.jpg,383,646,124,43,36,6,4,0.1380229391330223,0.0503334607981022
cmp_b0313.jpg,362,573,135,68,47,7,6,0.425532341232734,0.0
cmp_b0314.jpg,415,630,138,86,59,9,6,0.3764378228954207,0.0498294720121264
