image,H,W,masks_total,candidates_kept,blocks_drawn,rows,median_cols_per_row,wwr,shading_idx
cmp_b0055.jpg,955,1024,162,126,112,18,4,0.3937360031181254,0.0
cmp_b0056.jpg,1024,483,109,56,46,16,2,0.207471486765948,0.046627416245506176
cmp_b0057.jpg,1024,497,131,99,72,18,3,0.4253917044227182,0.03026326534635064
cmp_b0058.jpg,690,1024,159,62,58,11,5,0.1968383005005301,0.012411246634783832
cmp_b0059.jpg,1024,725,244,155,134,16,7,0.3037157131893402,0.009486108730759208
cmp_b0060.jpg,1024,533,256,109,96,18,5,0.2329128469802182,0.02125592393616495
cmp_b0061.jpg,1024,321,193,130,107,20,4,0.4225384136315257,0.0
cmp_b0062.jpg,1024,595,152,90,83,19,3,0.2549421663234727,0.04258405960274106
cmp_b0063.jpg,1024,296,103,77,60,21,3,0.2233741055377348,0.0035725677830940987
cmp_b0064.jpg,1024,241,120,63,49,17,2,0.2116239741784843,0.04316571640997489
cmp_b0065.jpg,1024,297,157,67,61,19,3,0.2024202008092312,0.007454871940270296
cmp_b0066.jpg,1024,616,371,273,241,20,10,0.2217214446264114,0.011466424392484176
cmp_b0067.jpg,1024,460,160,89,68,17,3,0.2561418117757139,0.12232281997044941
cmp_b0068.jpg,1024,399,151,112,90,16,4,0.3446823814214133,0.024968473470660835
cmp_b0069.jpg,1024,840,179,116,97,23,2,0.2620724390974759,0.09411085966208825
cmp_b0070.jpg,1024,449,188,77,61,15,5,0.2498629399147822,0.017988883029930677
cmp_b0071.jpg,1024,835,141,67,57,17,3,0.2410854918788228,0.007245842951708933
cmp_b0072.jpg,1024,586,219,122,107,19,5,0.5602952080765596,0.0
cmp_b0073.jpg,917,1024,135,63,56,11,4,0.2504969452402336,0.03693250472797253
cmp_b0074.jpg,839,1024,167,95,84,13,5,0.345046592312096,0.05329996906624243
cmp_b0075.jpg,1024,445,153,71,55,17,2,0.1434993942053596,0.0
cmp_b0076.jpg,1024,666,150,81,68,19,2,0.2489643830661796,0.009251716623416388
cmp_b0077.jpg,1024,786,204,129,106,13,6,5.70352731840067,1.3583153574998685
cmp_b0078.jpg,1024,805,248,98,84,14,5,0.2282687413655202,0.0759711426088956
cmp_b0079.jpg,1024,601,210,108,92,17,4,0.3340036824166534,0.0
cmp_b0080.jpg,1024,503,145,56,51,16,2,0.1159057705980825,0.0
cmp_b0081.jpg,514,1024,279,166,136,11,12,0.3245629138036282,0.022150677876151253
cmp_b0082.jpg,758,1024,273,166,136,14,7,0.3034431912932812,0.10695585292404197
cmp_b0083.jpg,827,1024,277,117,102,13,8,0.1534386226216338,0.06520871680675513
cmp_b0084.jpg,995,1024,138,86,72,17,4,0.2608884281617152,0.062006315559943306
cmp_b0085.jpg,828,1024,158,115,91,16,5,0.306794790089497,0.017312987624031634
cmp_b0086.jpg,703,1024,120,85,64,12,5,0.3417355527220473,0.09254453294713975
cmp_b0087.jpg,530,1024,172,122,82,10,7,0.6916497156378429,0.027273407647946647
cmp_b0088.jpg,441,1024,143,85,73,11,6,0.3725443040559396,0.02225725911066381
cmp_b0089.jpg,365,1024,166,100,87,7,11,0.2240894677950136,0.11291960321322783
cmp_b0090.jpg,1024,813,110,47,44,15,2,0.1801400443839811,0.04471152041963699
cmp_b0091.jpg,1024,929,143,78,66,17,3,0.2381616975669144,0.10449941033591327
cmp_b0092.jpg,1024,844,110,35,34,13,2,0.0829947390832543,0.07603788628615418
cmp_b0093.jpg,723,1024,121,42,36,12,2,0.1645676871495663,0.03726340538034716
cmp_b0094.jpg,1024,721,122,58,50,14,2,0.2737730313035373,0.11952716765474565
cmp_b0095.jpg,1024,781,139,75,67,17,4,0.5474186703869773,0.13680240316537204
cmp_b0096.jpg,627,1024,182,88,78,12,5,0.354062899818501,0.07335596615211282
cmp_b0097.jpg,883,1024,242,150,121,18,7,0.4053360861427936,0.09758280058020845
cmp_b0098.jpg,1024,802,130,64,55,16,3,0.3164989200801483,0.09901335401749278
cmp_b0099.jpg,737,1024,153,96,76,16,4,0.4051284108344448,0.27321069388181163
cmp_b0100.jpg,1024,726,190,118,105,20,4,0.7164044312815541,0.12000007599029604
cmp_b0101.jpg,1024,845,131,73,62,18,3,0.4034462798877955,0.16042576638097092
cmp_b0102.jpg,768,1024,140,60,55,10,5,0.1636951360314648,0.029034927935322575
cmp_b0103.jpg,1024,807,80,35,34,17,2,0.3363227396279634,0.08436807757252139
cmp_b0104.jpg,666,1024,178,113,86,12,6,0.275004310994017,0.06338005090503916
cmp_b0105.jpg,507,1024,154,107,89,12,7,0.2448596008402733,0.07923055745083253
cmp_b0106.jpg,574,1024,220,129,107,14,6,0.5311917031454905,0.3167956219898869
cmp_b0107.jpg,751,1024,205,119,105,15,7,0.3007595167756197,0.13658991383919808
cmp_b0108.jpg,766,1024,202,157,117,14,7,0.8145903378833399,0.03263167319084592
cmp_b0109.jpg,825,1024,196,91,84,13,6,0.3038979318085986,0.13073082227430316
cmp_b0110.jpg,812,1024,157,93,86,13,6,0.4467813506777703,0.2120301209317246
cmp_b0111.jpg,1024,689,116,57,46,14,2,0.2199503365238033,0.07491812997572131
cmp_b0112.jpg,1024,754,191,97,85,19,5,0.2635888991107934,0.03458132554796714
cmp_b0113.jpg,1024,951,203,121,102,18,3,0.2877200963874696,0.19342981219276922
cmp_b0114.jpg,1024,987,172,81,71,19,3,0.329152928541676,0.017337571685397773
cmp_b0115.jpg,1024,687,120,83,76,17,4,0.1962524825743212,0.04999904505765247
cmp_b0116.jpg,1024,804,125,59,53,16,2,0.4141151557089443,0.09238996546721547
cmp_b0117.jpg,643,1024,124,70,68,15,5,0.2641159303281136,0.008275364559179677
cmp_b0118.jpg,704,1024,188,96,82,13,6,0.3616512043981564,0.2589533750264454
cmp_b0119.jpg,846,1024,218,113,96,17,7,0.2658628985801904,0.042520507084265476
cmp_b0120.jpg,767,1024,107,52,45,12,3,0.3379864902851009,0.35613228047988577
cmp_b0121.jpg,758,1024,225,129,102,15,6,0.4169278996865204,0.425690076280459
cmp_b0122.jpg,717,1024,135,77,66,14,5,0.4023225786735325,0.053488837889863514
cmp_b0123.jpg,780,1024,161,93,75,12,5,0.3290468562876296,0.012423327975858562
cmp_b0124.jpg,805,1024,183,76,67,14,3,0.1625832039089207,0.28939687557362187
cmp_b0125.jpg,722,1024,219,138,109,15,6,0.2703874690550977,0.016081225842875548
cmp_b0126.jpg,752,1024,124,67,66,11,4,0.1087860445043228,0.15392167487998776
cmp_b0127.jpg,795,1024,99,32,27,9,2,0.1242453322049522,0.24582240397916683
cmp_b0128.jpg,771,1024,77,52,46,12,3,0.354938172914849,0.06875265713880817
cmp_b0129.jpg,765,1024,131,81,73,13,6,0.2692134664434256,0.2363458452385612
cmp_b0130.jpg,761,1024,117,48,43,10,4,0.2528746832976028,0.3871031149919776
cmp_b0131.jpg,1024,851,152,91,74,15,4,0.291965782883079,0.03824926141346997
cmp_b0132.jpg,1024,876,186,111,95,19,4,0.2773819825420696,0.017014723768208544
cmp_b0133.jpg,1024,890,109,56,49,13,4,0.2065572809190189,0.10314425650822777
cmp_b0134.jpg,568,1024,132,64,57,12,3,0.3249507300842522,0.2713302599051246
cmp_b0135.jpg,718,1024,205,123,96,16,5,0.3522619736413735,0.02604456048326491
cmp_b0136.jpg,731,1024,167,105,89,15,4,0.4711527405748159,0.19727886807730827
cmp_b0137.jpg,737,1024,144,58,50,13,3,0.2567677450595232,0.11019837994663838
cmp_b0138.jpg,776,1024,130,52,48,14,2,0.2798854077776423,0.40091558322651527
cmp_b0139.jpg,732,1024,139,69,60,15,3,0.3630551387523499,0.24882633164057844
cmp_b0140.jpg,624,1024,125,75,63,15,3,0.5853131404783454,0.1098854689108703
cmp_b0141.jpg,589,1024,171,83,75,11,4,0.2505498037623494,0.07697070054511107
cmp_b0142.jpg,800,1024,100,44,34,9,3,0.4507212948121506,0.11529489494014587
cmp_b0143.jpg,977,1024,110,51,47,15,3,0.2136961525096721,0.09437202324599094
cmp_b0144.jpg,677,1024,135,78,67,14,4,0.3425778816199377,0.1901125276643496
cmp_b0145.jpg,764,1024,166,95,91,14,5,0.4265684936711788,0.20898273479292992
cmp_b0146.jpg,1024,989,120,39,35,19,2,0.3049456928946059,0.0679211760854086
cmp_b0147.jpg,669,1024,88,47,40,10,4,0.2693734666333963,0.020694895149873094
cmp_b0148.jpg,1024,768,125,65,54,17,3,0.3145379495585882,0.002223217146644544
cmp_b0149.jpg,1024,768,123,51,43,17,2,0.1800490672185815,0.027624430664544807
cmp_b0150.jpg,1024,768,111,71,61,18,2,0.2897995587880459,0.005518525863778638
cmp_b0151.jpg,1024,768,138,80,68,17,3,0.2591671266482674,0.009302873581557238
cmp_b0152.jpg,1024,768,103,51,41,11,3,0.1510482022453111,0.029312933637728647
cmp_b0153.jpg,1024,768,184,91,75,17,4,0.2415801964501449,0.04048398270466544
cmp_b0154.jpg,1024,768,153,87,64,15,4,0.2472909472295756,0.017382656755542927
cmp_b0155.jpg,1024,768,149,102,81,18,4,0.533451919782855,0.11553533588952603
cmp_b0156.jpg,1024,768,147,97,80,21,3,0.3007378923705669,0.09712604688157957
cmp_b0157.jpg,1024,768,184,107,94,19,5,0.2951610207930483,0.14442226119220272
cmp_b0158.jpg,1024,768,188,113,91,19,5,0.4202044468144174,0.04061021297445793
cmp_b0159.jpg,1024,768,155,72,66,17,3,0.1505784497317417,0.35903564568260504
cmp_b0160.jpg,1024,768,115,71,55,13,3,0.2287467590391136,0.0
cmp_b0161.jpg,1024,768,135,72,57,13,4,0.2194623778537666,0.03432217623878194
cmp_b0162.jpg,870,1024,234,111,106,19,5,0.3427619546125456,0.07169140542338039
cmp_b0163.jpg,1024,749,170,109,93,18,5,0.5934453347118118,0.08779393907162673
cmp_b0164.jpg,853,1024,129,49,46,11,4,0.1370616833277415,0.04488407107853935
cmp_b0165.jpg,1001,1024,149,100,79,16,4,0.3473698306013413,0.06649235734887345
cmp_b0166.jpg,757,1024,114,66,64,13,5,0.1962972132149392,0.2566104530630554
cmp_b0167.jpg,1024,837,141,83,74,19,3,0.3840309389959174,0.0
cmp_b0168.jpg,974,1024,211,118,104,19,4,0.2270436415494348,0.05724667429489811
cmp_b0169.jpg,803,1024,173,96,88,15,4,0.2456429862366189,0.0
cmp_b0170.jpg,1024,858,139,87,73,15,4,0.3735853410390073,0.047228871570586084
cmp_b0171.jpg,1024,933,174,80,75,18,3,0.2410253721826465,0.130233414813839
cmp_b0172.jpg,812,1024,176,92,76,15,4,0.2429333166049808,0.10393096264503053
cmp_b0173.jpg,1024,777,151,72,56,15,3,0.2160486014428553,0.019167504399713663
cmp_b0174.jpg,780,1024,150,78,72,16,3,0.256408315809011,0.1891971302905761
cmp_b0175.jpg,795,1024,123,76,65,15,3,0.3650786088613625,0.3170932469197844
cmp_b0176.jpg,836,1024,115,58,52,11,4,0.2079054372063237,0.00824080343328193
cmp_b0177.jpg,830,1024,112,55,53,10,5,0.1647657273654662,0.012069172017947135
cmp_b0178.jpg,780,1024,124,71,60,13,3,0.2077710292877734,0.3358790003941026
cmp_b0179.jpg,814,1024,126,65,52,13,3,0.2775349356107601,0.3079319186603101
cmp_b0180.jpg,800,1024,124,74,57,13,5,0.3923619334998107,0.25348565881705076
cmp_b0181.jpg,1024,804,125,66,52,15,2,0.189950725914598,0.13667419778103868
cmp_b0182.jpg,1024,671,184,108,101,17,5,0.3735789344551229,0.03895109043435207
cmp_b0183.jpg,1024,720,137,63,53,17,3,0.2352954888488726,0.0187105970787307
cmp_b0184.jpg,1024,571,132,61,52,16,3,0.5747085758067753,0.0
cmp_b0185.jpg,1024,748,170,82,70,16,2,0.186333366565093,0.018459630489394856
cmp_b0186.jpg,1024,652,225,128,112,18,6,0.2773279318534743,0.03558407855982548
cmp_b0187.jpg,993,1024,139,86,69,15,4,0.2000330261749286,0.2303309162347208
cmp_b0188.jpg,1024,873,172,99,79,18,3,0.2747938299036493,0.05837653047953477
cmp_b0189.jpg,1024,561,119,61,51,14,3,0.3285681568001655,0.04910954708398184
cmp_b0190.jpg,588,1024,239,121,98,13,7,0.2260630519974264,0.2005300525759072
cmp_b0191.jpg,1024,824,127,70,63,17,4,0.4457020115248134,0.035454857576361826
cmp_b0192.jpg,1024,620,113,63,53,22,1,0.2397345520036312,0.032612540075007704
cmp_b0193.jpg,908,1024,168,75,62,15,5,0.2759545519945325,0.10541310861633771
cmp_b0194.jpg,847,1024,102,44,42,13,4,3.0405380666215627,1.9779460957660326
cmp_b0195.jpg,1024,654,115,64,55,21,2,0.258898785072323,0.0432737725924979
cmp_b0196.jpg,468,1024,153,125,84,9,9,0.6401530490782941,0.08951707602281717
cmp_b0197.jpg,589,1024,170,104,87,13,5,0.1617003866610578,0.0
cmp_b0198.jpg,679,1024,218,117,101,12,8,0.3498575683466998,0.11952025125464993
cmp_b0199.jpg,1024,688,103,57,55,18,2,0.2217022704987292,0.05635214897331449
cmp_b0200.jpg,562,1024,121,51,42,10,3,0.3414222138207441,0.24425628977073519
cmp_b0201.jpg,1024,957,154,85,74,20,3,0.6194906310036223,0.07683114480840263
cmp_b0202.jpg,698,1024,175,108,81,12,6,0.2358347890486671,0.03567510432640991
cmp_b0203.jpg,628,1024,152,83,70,11,6,0.4292184386974736,0.07643035624580359
cmp_b0204.jpg,1024,910,159,38,37,10,3,0.0821051657518417,0.009777455626045064
cmp_b0205.jpg,686,1024,128,52,51,10,3,0.1291701325593331,0.015576599699088416
cmp_b0206.jpg,555,1024,124,58,53,9,4,0.1302257069926167,0.0
cmp_b0207.jpg,1024,649,114,36,34,12,1,0.2037854800451482,0.01996640019631346
cmp_b0208.jpg,770,1024,101,46,42,13,3,0.2562776062559156,0.09704240039850476
cmp_b0209.jpg,558,1024,166,92,87,11,7,0.2982198017905009,0.10461636928061444
cmp_b0210.jpg,594,1024,140,89,77,12,6,0.283835962015359,0.0015938483287753962
cmp_b0211.jpg,1024,768,73,36,28,7,3,0.1240081153151154,0.1844696558086197
cmp_b0212.jpg,1024,768,95,57,44,11,3,0.2051953800957785,0.023678052591939232
cmp_b0213.jpg,1024,768,104,59,48,12,3,0.1628517356442053,0.0
cmp_b0214.jpg,1024,768,130,69,57,16,2,0.1646660915526708,0.19258902105603437
cmp_b0215.jpg,1024,768,171,78,64,13,3,0.2494935963235714,0.02097580498815481
cmp_b0216.jpg,1024,768,136,68,62,13,5,0.1504798943455569,0.02973201798967504
cmp_b0217.jpg,1024,768,82,33,31,14,2,0.143100143442883,0.0
cmp_b0218.jpg,1024,768,156,79,62,16,3,0.2758135021574058,0.2145964108654263
cmp_b0219.jpg,1024,768,168,87,73,15,4,0.2386965715507615,0.0
cmp_b0220.jpg,1024,768,100,53,48,11,4,0.2001042914523289,0.007060621526436444
cmp_b0221.jpg,1024,768,165,90,76,21,3,0.2319549536659063,0.029060217825284916
cmp_b0222.jpg,1024,768,129,75,67,18,3,0.2470137577555975,0.00585442935504135
cmp_b0223.jpg,1024,768,186,89,71,18,3,0.2285066776155206,0.02736340136978767
cmp_b0224.jpg,1024,768,134,77,72,18,4,0.1761446522040459,0.0
cmp_b0225.jpg,1024,768,95,52,44,12,3,1.1646110237591334,0.1778278793423625
cmp_b0226.jpg,1024,768,122,62,56,13,3,0.1861107561977551,0.04326035449080451
cmp_b0227.jpg,1024,768,91,32,31,13,2,0.1142914669340389,0.17726841811886385
cmp_b0228.jpg,1024,768,98,63,50,12,4,0.1939743010097436,0.012921683390901405
cmp_b0229.jpg,1024,768,125,67,57,16,2,0.2017552002750558,0.10738889825174465
cmp_b0230.jpg,1024,768,138,87,71,14,5,0.2885947785821656,0.031989378155520165
cmp_b0231.jpg,1024,768,110,57,42,11,3,0.1483667473211199,0.006715587657153398
cmp_b0232.jpg,1024,768,149,76,73,12,5,0.1770194347661641,0.05579428176262625
cmp_b0233.jpg,1024,768,94,45,40,11,3,0.1812999072484781,0.0385795434856203
cmp_b0234.jpg,1024,768,119,71,52,13,4,0.2547188713602961,0.01837436666794389
cmp_b0235.jpg,1024,768,121,88,76,13,5,0.2355484724560981,0.005793277503728347
cmp_b0236.jpg,593,1024,168,99,87,14,5,0.4111526079645793,0.3294429349548491
cmp_b0237.jpg,660,1024,142,72,61,8,5,0.2488768460828429,0.1619334170310403
cmp_b0238.jpg,627,1024,136,55,51,11,4,0.2371428159303013,0.25864647759625325
cmp_b0239.jpg,496,1024,146,76,63,13,3,0.2587453233040186,0.2272083136513935
cmp_b0240.jpg,595,1024,169,101,79,15,4,1.2457531395885846,0.1559416416081969
cmp_b0241.jpg,614,1024,180,88,77,12,4,0.2704604485290062,0.14338447064244844
cmp_b0242.jpg,762,1024,206,122,103,15,6,0.5117425643830328,0.14612540663682785
cmp_b0243.jpg,637,1024,170,78,71,16,4,0.4342144671337642,0.08050882464716755
cmp_b0244.jpg,586,1024,182,93,81,11,5,0.4779342972806399,0.16369571677585038
cmp_b0245.jpg,608,1024,142,83,68,11,6,0.4259285401441359,0.34860793695060865
cmp_b0246.jpg,975,1024,191,113,103,18,5,0.2893188833832988,0.026425230656292927
cmp_b0247.jpg,676,1024,158,101,88,15,5,0.6185618904285302,0.24647314369924628
cmp_b0248.jpg,648,1024,143,100,76,15,6,0.8605329911588441,0.08681790176152264
cmp_b0249.jpg,1024,842,167,76,65,17,4,0.1881031706811624,0.05148892474695614
cmp_b0250.jpg,1024,882,141,75,72,16,3,0.3332895602565734,0.06770274517454021
cmp_b0251.jpg,1024,810,122,66,57,17,3,0.601650295513194,0.10428666822766258
cmp_b0252.jpg,1024,888,149,79,66,20,3,0.4867833898083718,0.11073048751444885
cmp_b0253.jpg,938,1024,157,87,70,17,2,0.3449149843341731,0.21912503546927944
cmp_b0254.jpg,992,1024,163,94,89,16,4,0.379682612091612,0.1611303989057917
cmp_b0255.jpg,1024,743,197,147,113,21,5,0.2621536252476385,0.07389362504942026
cmp_b0256.jpg,1024,902,178,99,91,18,3,0.2052824880831444,0.15437310319035402
cmp_b0257.jpg,1024,834,206,107,98,18,4,0.2727751615588179,0.11096700790060847
cmp_b0258.jpg,1024,996,164,64,55,12,3,0.2351920309959093,0.06164847762399271
cmp_b0259.jpg,762,1024,153,89,81,12,5,0.2213051683331421,0.040336699072074385
cmp_b0260.jpg,1024,753,166,117,99,20,5,0.4138003203163383,0.05236290141343966
cmp_b0261.jpg,943,1024,227,130,113,20,5,0.2806687535470422,0.09427366902123636
cmp_b0262.jpg,1007,1024,203,80,75,15,3,0.1996640641579203,0.03220975134432856
cmp_b0263.jpg,1024,858,178,95,84,16,5,0.2437616166409617,0.12826508683114024
cmp_b0264.jpg,1024,948,165,92,78,19,4,0.2797090920535341,0.16537598572422027
cmp_b0265.jpg,1024,967,160,99,82,16,4,0.2600393311520436,0.0224096774467579
cmp_b0266.jpg,1024,653,187,82,78,19,3,0.1781139392766287,0.01912631147526809
cmp_b0267.jpg,1024,878,305,121,107,20,4,0.2224168881590849,0.08658652104867244
cmp_b0268.jpg,925,1024,163,76,70,16,3,0.2784932685999876,0.008833269663290889
cmp_b0269.jpg,1024,774,150,88,74,18,4,0.2907982112424813,0.115302018515708
cmp_b0270.jpg,1024,827,109,40,35,11,2,0.1916267327288798,0.0457543604285653
cmp_b0271.jpg,735,1024,199,109,99,18,5,0.2540673415920044,0.10542314409616363
cmp_b0272.jpg,623,1024,165,88,78,13,4,0.2368516563283621,0.3076131729748266
cmp_b0273.jpg,1024,852,214,122,101,21,5,0.2476297327931491,0.09917164744992547
cmp_b0274.jpg,1024,680,211,119,102,20,5,0.4320166572753038,0.06624653295345195
cmp_b0275.jpg,1024,899,217,143,121,20,5,0.3171314355847333,0.11640967846363189
cmp_b0276.jpg,1024,963,189,111,95,19,4,0.2453222403490558,0.13993877289581216
cmp_b0277.jpg,1024,777,175,95,74,17,4,0.2639194044985928,0.1199030611044446
cmp_b0278.jpg,1024,829,211,88,74,16,3,0.1645927035424503,0.25953768486676043
cmp_b0279.jpg,717,1024,147,80,73,15,4,0.2745976720910661,0.2313825916402725
cmp_b0280.jpg,508,1024,186,73,71,11,8,0.3867795246291932,0.11570643368714323
cmp_b0281.jpg,445,606,104,73,53,9,5,1.1331059124052187,0.3267525406175157
cmp_b0282.jpg,502,721,155,86,65,7,9,0.3387841446799549,0.0523626544147995
cmp_b0283.jpg,584,550,127,89,68,12,5,0.2746651904205784,0.10183003411156265
cmp_b0284.jpg,638,510,159,107,80,13,6,0.2830668513156238,0.1348592573237187
cmp_b0285.jpg,767,1024,161,124,109,15,7,0.420257192574781,0.28324225373893874
cmp_b0286.jpg,650,1024,179,128,110,13,9,0.5490661482184486,0.05061679179677984
cmp_b0287.jpg,474,507,141,76,49,9,5,0.3305364456992882,0.050170246872175576
cmp_b0288.jpg,490,740,125,63,40,9,4,0.3000666863106961,0.05029260474131504
cmp_b0289.jpg,476,500,96,54,41,11,3,0.417621776504298,0.021308659278507152
cmp_b0290.jpg,241,338,98,43,30,6,3,0.3266473478644324,0.014696363982486199
cmp_b0291.jpg,385,625,139,85,55,8,7,0.3584043158866416,0.07512994957015616
cmp_b0292.jpg,539,547,89,52,36,12,2,0.4135434431634718,0.0015503734576064057
cmp_b0293.jpg,556,584,76,35,31,9,3,0.1824735339171849,0.036251476482114936
cmp_b0294.jpg,321,487,107,62,46,6,6,0.465519271858544,0.08938646725936202
cmp_b0295.jpg,453,612,161,93,67,11,6,1.5249824397096698,1.703677934790432
cmp_b0296.jpg,421,590,134,57,45,7,6,0.2570805484510638,0.09949556854610597
cmp_b0297.jpg,494,576,119,62,43,9,4,0.2339159626042028,0.10445702705365227
cmp_b0298.jpg,462,566,137,47,32,7,5,0.2672922769489293,0.13796045596232168
cmp_b0299.jpg,391,585,135,50,41,7,4,0.2227705390339042,0.21511409318332997
cmp_b0300.jpg,441,595,96,36,32,10,2,0.1984229421318061,0.04275594463098746
cmp_b0301.jpg,329,647,148,90,60,7,10,0.6550104674950449,0.6706102762386894
cmp_b0302.jpg,359,659,126,61,43,8,4,0.2063592273396857,0.12033760403085882
cmp_b0303.jpg,371,800,143,85,60,9,7,0.3508115612161715,0.3719714657338364
cmp_b0304.jpg,332,530,94,56,39,8,5,0.258465923593976,0.26157664192052793
cmp_b0305.jpg,614,619,147,90,73,13,4,0.423286166050276,0.14834575580460077
cmp_b0306.jpg,594,581,81,50,38,13,3,0.3483408166128806,0.1498506413635565
cmp_b0307.jpg,416,445,104,52,38,9,4,0.4096778030343078,0.04667182304371682
cmp_b0308.jpg,356,587,129,66,46,7,5,0.2454666076957098,0.121651528424547
cmp_b0309.jpg,714,704,91,55,44,13,3,0.4432131747483989,0.01931197278778578
cmp_b0310.jpg,506,524,74,33,31,9,3,0.2305311660826124,0.01627858789401435
cmp_b0311.jpg,720,849,144,91,71,15,5,0.3709702632681433,0.23553867195970177
cmp_b0312.jpg,383,646,124,43,36,6,4,0.1380229391330223,0.05033346079810229
